"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
18/10/21-4.2,"Квартира 13","г. Москва, ул. Серпуховский вал, д.21, к.4, кв.13",Приёмо-сдаточные,2021-10-18,"Рязанов А.В., Травин Е.В., Кучерявых П.М.","Тишин Артём Романович","Новая - Удовлетворительно",1.8529411764706,2,129,30,29,19,33,-,-,425,37,388,63,37,26,40.222222222222,-,40.222222222222,"2021-10-18 11:44","2021-10-19 11:42","Травин Евгений"
19/10/21-4.1,"МГСА Автостоянка №402","г. Москва, ул.Сталеваров, вл.3а",Эксплуатационные,2021-10-19,"Рязанов А.В., Травин Е.В., Лопатин И.А.","МГСА Автостоянка №402","Старая - Удовлетворительно",1.3157894736842,4,47,38,37,-,-,-,-,50,48,2,50,48,2,-,-,-,"2021-10-19 05:31","2021-10-19 11:56","Травин Евгений"
20/10/21-4.1,"МБОУ СОШ № 20 г. Химки","Московская обл., г.Химки, мкр.Подрезково, ул.Школьная, д.2",Эксплуатационные,2021-10-20,"Рязанов А.В., Травин Е.В., Аксенов С.А.","МБОУ СОШ № 20 г. Химки","Старая - Удовлетворительно",0.95275590551181,11,150,127,96,-,-,-,-,234,114,120,121,114,7,56.5,-,56.5,"2021-10-20 05:02","2021-10-21 12:02","Травин Евгений"
21/10/21-4.1,"Офисное помещение","г. Москва, Можайское шоссе, д. 2",Эксплуатационные,2021-10-21,"Рязанов А.В., Травин Е.В., Бунин А.В.","ООО «Дрехслер Иммо-Сервис»","Старая - Удовлетворительно",1.2432432432432,3,42,29,29,-,-,-,-,46,40,6,46,40,6,-,-,-,"2021-10-21 12:08","2021-10-27 09:19","Травин Евгений"
22/10/21-4.1,ЦОД,"г. Москва, ул. Красноказарменная, д.12 стр. 38.",Эксплуатационные,2021-10-22,"Кононов И.В., Травин Е.В., Еселевский И.А.","ФГУП «РФЯЦ-ВНИИТФ им. академика Е.И. Забабахина»","Старая - Удовлетворительно",-,1,-,-,-,-,-,5,2,44,-,44,44,-,44,-,-,-,"2021-10-22 03:48","2021-10-27 12:26","Травин Евгений"
26/10/21-4.1,,"г. Москва, ул.Малая  Дмитровка, д.11",Эксплуатационные,2021-10-26,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ЗАО «Смарт Холдинг»","Старая - Удовлетворительно",0.76774193548387,8,0,108,104,10,145,-,-,166,163,3,119,116,3,0.57317073170732,0.57317073170732,-,"2021-10-26 05:26","2021-11-09 09:12","Травин Евгений"
01/11/21-4.1,"Отдел трудоустройства ""Лефортово""","г. Москва, шоссе Энтузиастов, д.20Б",Эксплуатационные,2021-11-01,"Рязанов А.В., Травин Е.В., Аксенов С.А.","Государственное казенное учреждение города Москвы Центр занятости населения города Москвы","Старая - Удовлетворительно",1.3333333333333,1,84,26,23,-,30,1,-,44,41,3,44,41,3,-,-,-,"2021-11-01 05:26","2021-11-09 07:30","Травин Евгений"
01/11/21-4.2,"Отдел трудоустройства ""Перовский"" ","г. Москва, ул. 3-я Владимирская, д.12, к.1",Эксплуатационные,2021-11-01,"Рязанов А.В., Травин Е.В., Аксенов С.А.","Государственное казенное учреждение города Москвы Центр занятости населения города Москвы","Старая - Удовлетворительно",0.82608695652174,4,140,45,45,-,46,1,-,1175,18,1157,38,18,20,75.8,-,75.8,"2021-11-01 05:35","2021-11-09 08:47","Травин Евгений"
01/11/21-4.3,"Архив центра занятости населения города Москвы","г. Москва, ул. Перовская, д.46, к.5",Эксплуатационные,2021-11-01,"Рязанов А.В., Травин Е.В., Аксенов С.А.","Государственное казенное учреждение города Москвы Центр занятости населения города Москвы","Старая - Удовлетворительно",1.6666666666667,1,38,12,12,-,15,1,-,10492,13,10479,25,13,12,1744.5,-,1744.5,"2021-11-01 05:35","2021-11-10 08:04","Травин Евгений"
02/11/21-4.1,"Нежилые помещения","г. Москва, ул. Верхние поля, д.3, стр.2",Эксплуатационные,2021-11-02,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН г. Москвы","Старая - Удовлетворительно",0.78703703703704,9,168,70,69,-,74,1,-,85,69,16,85,69,16,-,-,-,"2021-11-02 04:18","2021-11-10 08:39","Травин Евгений"
02/11/21-4.2,"Нежилые помещения","г. Москва, Новочеркасский бульвар, д.47",Эксплуатационные,2021-11-02,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.51428571428571,11,70,29,26,-,27,1,-,10359,38,10321,54,38,16,1030.5,-,1030.5,"2021-11-02 06:13","2021-11-17 12:39","Травин Евгений"
02/11/21-4.3,"Нежилые помещения","г. Москва, ул. Луганская, д.8",Эксплуатационные,2021-11-02,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",1.010101010101,12,174,54,53,-,69,1,-,10407,60,10347,100,43,57,245.44736842105,0.44736842105263,245,"2021-11-02 08:10","2021-11-17 13:01","Травин Евгений"
03/11/21-4.1,"Нежилые помещения","г. Москва, ул.Печерская, д.11",Эксплуатационные,2021-11-03,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.48484848484848,3,90,27,27,-,33,1,-,2661,21,2640,32,21,11,438.16666666667,-,438.16666666667,"2021-11-03 04:46","2021-11-10 09:45","Травин Евгений"
03/11/21-4.2,"Нежилые помещения","г. Москва, ул.Сущевский вал, д.14/32, к.1, пом.1",Эксплуатационные,2021-11-03,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН","Старая - Удовлетворительно",0.578125,5,122,28,27,-,30,1,-,37,27,10,37,27,10,-,-,-,"2021-11-03 07:04","2021-11-10 09:51","Травин Евгений"
03/11/21-4.3,"Нежилые помещения","г. Москва, ул.Сущевский вал, д.14/32, к.1, пом.2",Эксплуатационные,2021-11-03,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.3448275862069,4,98,24,24,-,27,1,-,20,15,5,20,15,5,-,-,-,"2021-11-03 07:51","2021-11-10 09:53","Травин Евгений"
10/11/21-4.1,"Магазин ""DNS""","г. Москва, Каширское шоссе, 61 г",Эксплуатационные,2021-11-10,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО «ДНС Ритейл»","Старая - Удовлетворительно",-,0,0,0,0,0,-,-,-,1,-,1,1,-,1,-,-,-,"2021-11-10 13:48","2021-11-10 13:50","Травин Евгений"
"11/11/21-4.1 ","Нежилые помещения","г. Москва, ул. 5-я Кожуховская, д.8, к.2",Эксплуатационные,2021-11-11,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",1.3050847457627,19,303,137,132,-,139,1,-,259,172,87,231,172,59,0.58333333333333,-,0.58333333333333,"2021-11-11 04:02","2021-11-15 10:00","Травин Евгений"
11/11/21-4.2,"Нежилые помещения","г. Москва, ул. Люсиновская, д.37",Эксплуатационные,2021-11-11,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.60714285714286,10,289,109,104,-,126,1,-,8904,100,8804,102,61,41,293.18333333333,1.0833333333333,292.1,"2021-11-11 07:48","2021-11-21 14:22","Травин Евгений"
"12/11/21-4.1 ","Нежилые помещения","г. Москва, ул. Куусинена, д.2, к.1",Эксплуатационные,2021-11-12,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.80612244897959,21,410,143,143,-,161,1,-,158,95,63,158,95,63,-,-,-,"2021-11-12 03:42","2021-11-15 13:00","Травин Евгений"
12/11/21-4.2,"Нежилые помещения","г. Москва, пр-кт Маршала Жукова, д.17, к.2",Эксплуатационные,2021-11-12,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.55056179775281,10,119,53,50,-,53,1,-,49,30,19,49,30,19,-,-,-,"2021-11-12 05:57","2021-11-15 13:15","Травин Евгений"
11/11/21-4.3,"Нежилые помещения","г. Москва, ул. Усиевича, д.29, к.1",Эксплуатационные,2021-11-12,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ГКУ ЦЗН ","Старая - Удовлетворительно",0.42857142857143,3,57,14,14,-,16,1,-,21,20,1,21,20,1,-,-,-,"2021-11-12 08:10","2021-11-21 15:00","Травин Евгений"
16/11/21-4.1,"Барбершоп STAGGY BARBER","г. Москва, Звенигородское шоссе, д.18/20, к.1",Приёмо-сдаточные,2021-11-16,"Рязанов А.В., Травин Е.В., Еселевский И.А.","ООО ""Телз""","Новая - Удовлетворительно",1.5,1,68,22,22,15,24,-,-,36,28,8,36,28,8,-,-,-,"2021-11-16 13:39","2021-11-16 18:27","Травин Евгений"
18/11/21-4.1,"Нежилые помещения","г. Москва, Варшавское шоссе, д.76, к.2",Эксплуатационные,2021-11-18,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГБУ МДОО","Старая - Удовлетворительно",3,2,86,19,19,12,21,1,-,4529,32,4497,63,32,31,496.22222222222,-,496.22222222222,"2021-11-18 03:44","2021-11-21 08:37","Травин Евгений"
18/11/21-4.2,"Нежилые помещения","г. Москва, ул. Гарибальди, д.5, корп.1 ",Эксплуатационные,2021-11-18,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГБУ МДОО","Старая - Удовлетворительно",3.1538461538462,2,20,10,9,-,11,1,-,4581,15,4566,41,15,26,454,-,454,"2021-11-18 03:47","2021-11-21 13:50","Травин Евгений"
19/11/21-4.1,"Нежилые помещения","г. Москва, Ленинградский пр-т, д. 30, стр. 3",Эксплуатационные,2021-11-19,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГБУ МДОО","Старая - Удовлетворительно",1.4390243902439,3,68,16,15,11,19,1,-,59,41,18,59,41,18,-,-,-,"2021-11-19 03:33","2021-11-21 08:58","Травин Евгений"
19/11/21-4.2,"Нежилые помещения","г. Москва, ул. Петрозаводская, д.18, кор.1",Эксплуатационные,2021-11-19,"Рязанов А.В., Травин Е.В., Доплер А.Э.","ГБУ МДОО","Старая - Удовлетворительно",0.9,5,85,18,18,7,20,1,-,50,43,7,36,29,7,0.82352941176471,0.82352941176471,-,"2021-11-19 05:30","2021-11-21 09:03","Травин Евгений"
17/11/21-4.1,"Нежилые помещения","г. Москва, Ясный проезд, д.8, к.1",Эксплуатационные,2021-11-17,"Опалев А.В., Травин Е.В., Рязанов А.В.","ГБУ МДОО","Старая - Удовлетворительно",1.0555555555556,4,49,15,15,6,16,1,-,38,30,8,38,30,8,-,-,-,"2021-11-22 03:42","2021-11-22 12:30","Травин Евгений"
16/11/21-4.1,"Нежилые помещения","г. Москва, ул. Нижегородская, д.17",Эксплуатационные,2021-11-16,"Опалев А.В., Травин Е.В., Рязанов А.В.","ГБУ МДОО","Старая - Удовлетворительно",1,4,100,40,24,20,29,1,-,316,308,8,66,58,8,7.1428571428571,7.1428571428571,-,"2021-11-22 05:35","2021-11-22 13:22","Травин Евгений"
